0;;
1;;
15;[ 9.99880808e-01  4.47571454e-04 -1.54327661e-02 -1.61375186e-01] [-4.77248398e-04  9.99998044e-01 -1.91935354e-03 -1.40925183e-01] [1.54318769e-02 1.92649003e-03 9.99879066e-01 7.08620484e+00] [0. 0. 0. 1.];[ 9.99854870e-01  6.98732442e-04 -1.70220714e-02 -1.36413987e-01] [-6.22786724e-04  9.99989831e-01  4.46649508e-03 -1.45101026e-01] [ 1.70250192e-02 -4.45524574e-03  9.99845138e-01  7.65755469e+00] [0. 0. 0. 1.]
16;[ 9.99880808e-01  4.47571454e-04 -1.54327661e-02 -1.61375186e-01] [-4.77248398e-04  9.99998044e-01 -1.91935354e-03 -1.40925183e-01] [1.54318769e-02 1.92649003e-03 9.99879066e-01 7.08620484e+00] [0. 0. 0. 1.];[ 0.99984662  0.00343495 -0.01717394 -0.18754615] [-0.00336199  0.99998521  0.00427525 -0.17585218] [ 1.71883668e-02 -4.21686000e-03  9.99843377e-01  8.24527892e+00] [0. 0. 0. 1.]
17;[ 0.99983845  0.00420621 -0.01747503 -0.19146732] [-0.00413244  0.99998241  0.00425521 -0.18035714] [ 1.74926241e-02 -4.18230880e-03  9.99838245e-01  8.24251217e+00] [0. 0. 0. 1.];[ 0.9997953   0.00718587 -0.01891373 -0.17311484] [-0.00723355  0.99997083 -0.0024539  -0.19451776] [1.88955430e-02 2.59020953e-03 9.99818108e-01 8.80613977e+00] [0. 0. 0. 1.]
18;[ 0.99983845  0.00420621 -0.01747503 -0.19146732] [-0.00413244  0.99998241  0.00425521 -0.18035714] [ 1.74926241e-02 -4.18230880e-03  9.99838245e-01  8.24251217e+00] [0. 0. 0. 1.];[ 0.99980297  0.00656572 -0.01873269 -0.21122481] [-0.00674429  0.99993227 -0.00948543 -0.18030495] [0.01866915 0.0096099  0.99977953 9.41020644] [0. 0. 0. 1.]
19;[ 0.99979731  0.00564141 -0.01932642 -0.21512551] [-0.00582481  0.99993841 -0.00944659 -0.17799957] [0.01927194 0.00955724 0.9997686  9.42309491] [0. 0. 0. 1.];[ 0.9998013   0.00602626 -0.01900127 -0.24955828] [-0.00616961  0.99995288 -0.00749443 -0.20032797] [1.89552141e-02 7.61017073e-03 9.99791371e-01 1.00691387e+01] [0. 0. 0. 1.]
20;[ 0.99979731  0.00564141 -0.01932642 -0.21512551] [-0.00582481  0.99993841 -0.00944659 -0.17799957] [0.01927194 0.00955724 0.9997686  9.42309491] [0. 0. 0. 1.];[ 0.99980211  0.00418532 -0.01944803 -0.26093817] [-0.00413165  0.99998755  0.00279904 -0.21625073] [ 1.94594980e-02 -2.71813866e-03  9.99806951e-01  1.07082078e+01] [0. 0. 0. 1.]
21;[ 0.99978679  0.00273225 -0.02046734 -0.26200139] [-0.00269282  0.99999447  0.0019536  -0.19800432] [ 2.04725654e-02 -1.89806593e-03  9.99788613e-01  1.07003495e+01] [0. 0. 0. 1.];[ 0.99980226  0.00306538 -0.01964817 -0.27442136] [-0.00287894  0.99995063  0.00951052 -0.20975449] [ 1.96763539e-02 -9.45207192e-03  9.99761721e-01  1.13678841e+01] [0. 0. 0. 1.]
22;[ 0.99978679  0.00273225 -0.02046734 -0.26200139] [-0.00269282  0.99999447  0.0019536  -0.19800432] [ 2.04725654e-02 -1.89806593e-03  9.99788613e-01  1.07003495e+01] [0. 0. 0. 1.];[ 0.99977894  0.00156569 -0.02096696 -0.29292925] [-0.00133418  0.99993804  0.01105151 -0.19951511] [ 2.09829620e-02 -1.10210896e-02  9.99719086e-01  1.20472588e+01] [0. 0. 0. 1.]
23;[ 0.99977894  0.00156569 -0.02096696 -0.29292925] [-0.00133418  0.99993804  0.01105151 -0.19951511] [ 2.09829620e-02 -1.10210896e-02  9.99719086e-01  1.20472588e+01] [0. 0. 0. 1.];[ 9.99781420e-01  2.47733253e-05 -2.09072374e-02 -3.00951577e-01] [ 1.97158032e-04  9.99943662e-01  1.06129214e-02 -2.11829392e-01] [ 2.09063225e-02 -1.06147236e-02  9.99725089e-01  1.27288880e+01] [0. 0. 0. 1.]
24;[ 0.99977586  0.00134804 -0.02112828 -0.30370182] [-0.00110224  0.99993163  0.01164136 -0.20624353] [ 2.11425249e-02 -1.16154619e-02  9.99708995e-01  1.20289250e+01] [0. 0. 0. 1.];[ 0.99974057  0.00175276 -0.02270966 -0.27811084] [-0.00154324  0.99995612  0.0092401  -0.23473462] [ 2.27248621e-02 -9.20265767e-03  9.99699401e-01  1.33645274e+01] [0. 0. 0. 1.]
